encoder,depth,n_probes,budgeted,recall,recall_stderr,scan_mean,scan_p50,scan_p95,scan_max,n_ranges
morton-pca2-b30,4,400,1,0.332,0.0168,0.05,0.05,0.05,0.05,4.71
morton-pca2-b30,5,1,0,0.0145,0.0033,0.00145,0.00125,0.00301,0.0055,1.0
morton-pca2-b30,5,2,0,0.032,0.006,0.00291,0.00263,0.006,0.01025,1.77
morton-pca2-b30,5,4,0,0.0505,0.0071,0.00572,0.00525,0.01177,0.01688,2.65
morton-pca2-b30,5,8,0,0.103,0.0101,0.01133,0.01087,0.02451,0.02962,4.08
morton-pca2-b30,5,16,0,0.176,0.0138,0.02207,0.02137,0.04208,0.05038,5.68
morton-pca2-b30,5,32,0,0.298,0.0178,0.04203,0.04331,0.07179,0.081,8.67
morton-pca2-b30,5,64,0,0.449,0.0198,0.07883,0.084,0.12488,0.12687,12.12
morton-pca2-b30,5,40,1,0.0465,0.0061,0.005,0.005,0.005,0.005,2.96
morton-pca2-b30,5,80,1,0.0875,0.0084,0.01,0.01,0.01,0.01,4.38
morton-pca2-b30,5,160,1,0.1575,0.0105,0.02,0.02,0.02,0.02,6.48
morton-pca2-b30,5,400,1,0.3325,0.017,0.05,0.05,0.05,0.05,10.6
morton-pca2-b30,6,1,0,0.0045,0.0015,0.00035,0.00025,0.00088,0.002,1.0
morton-pca2-b30,6,2,0,0.009,0.0027,0.00073,0.00063,0.00151,0.003,1.74
morton-pca2-b30,6,4,0,0.019,0.0039,0.00145,0.00125,0.00313,0.00525,2.69
morton-pca2-b30,6,8,0,0.0335,0.0058,0.00288,0.00263,0.00601,0.01013,4.18
morton-pca2-b30,6,16,0,0.054,0.0073,0.00576,0.00525,0.01175,0.01625,6.12
morton-pca2-b30,6,32,0,0.1025,0.01,0.01131,0.01069,0.02401,0.0295,8.9
morton-pca2-b30,6,64,0,0.1755,0.0136,0.02205,0.02138,0.04254,0.05137,12.66
morton-pca2-b30,6,40,1,0.0445,0.0061,0.005,0.005,0.005,0.005,7.32
morton-pca2-b30,6,80,1,0.088,0.0083,0.01,0.01,0.01,0.01,12.05
morton-pca2-b30,6,160,1,0.1595,0.0108,0.02,0.02,0.02,0.02,19.34
morton-pca2-b30,6,400,1,0.325,0.017,0.04783,0.05,0.05,0.05,35.13
morton-pca2-b30,7,1,0,0.0025,0.0011,9e-05,0.0,0.00025,0.00075,1.0
morton-pca2-b30,7,2,0,0.003,0.0012,0.00018,0.00013,0.00063,0.00112,1.76
morton-pca2-b30,7,4,0,0.006,0.002,0.00034,0.00025,0.00088,0.00175,2.67
morton-pca2-b30,7,8,0,0.011,0.0026,0.00073,0.00063,0.00162,0.003,4.17
morton-pca2-b30,7,16,0,0.0165,0.0035,0.00146,0.00125,0.003,0.00525,6.3
morton-pca2-b30,7,32,0,0.0325,0.0054,0.00286,0.00263,0.00601,0.01,9.24
morton-pca2-b30,7,64,0,0.055,0.0072,0.00575,0.00525,0.01176,0.01663,13.45
morton-pca2-b30,7,40,1,0.045,0.0061,0.00498,0.005,0.005,0.005,18.58
morton-pca2-b30,7,80,1,0.0835,0.0081,0.00979,0.01,0.01,0.01,34.05
morton-pca2-b30,7,160,1,0.135,0.01,0.01689,0.02,0.02,0.02,53.06
morton-pca2-b30,7,400,1,0.1745,0.0135,0.02205,0.02162,0.0429,0.05,62.49
morton-pca2-b30,8,1,0,0.0005,0.0005,2e-05,0.0,0.00013,0.00025,1.0
morton-pca2-b30,8,2,0,0.0005,0.0005,4e-05,0.0,0.00025,0.00038,1.74
morton-pca2-b30,8,4,0,0.0005,0.0005,9e-05,0.0,0.00025,0.00063,2.65
morton-pca2-b30,8,8,0,0.0035,0.0013,0.00018,0.00013,0.0005,0.00112,4.09
morton-pca2-b30,8,16,0,0.0055,0.0016,0.00035,0.00025,0.00088,0.00175,6.4
